,acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
305,PIR2,1,419,284,"Piriform area, pyramidal layer","[997, 8, 567, 688, 695, 698, 961, 284]",[12],"[106, 203, 186]"
306,PIR3,1,420,291,"Piriform area, polymorph layer","[997, 8, 567, 688, 695, 698, 961, 291]",[12],"[106, 203, 186]"
307,NLOT,1,421,619,Nucleus of the lateral olfactory tract,"[997, 8, 567, 688, 695, 698, 619]","[112905828, 691663206, 688152358, 687527945, 10, 12, 184527634, 167587189, 114512891]","[149, 228, 200]"
308,NLOT1,1,423,260,"Nucleus of the lateral olfactory tract, molecular layer","[997, 8, 567, 688, 695, 698, 619, 260]","[184527634, 12, 691663206]","[149, 228, 200]"
309,NLOT2,1,424,268,"Nucleus of the lateral olfactory tract, pyramidal layer","[997, 8, 567, 688, 695, 698, 619, 268]","[184527634, 12, 691663206]","[149, 228, 200]"
310,NLOT3,1,425,1139,"Nucleus of the lateral olfactory tract, layer 3","[997, 8, 567, 688, 695, 698, 619, 1139]","[184527634, 12, 691663206]","[149, 228, 200]"
311,COA,1,426,631,Cortical amygdalar area,"[997, 8, 567, 688, 695, 698, 631]","[112905828, 691663206, 10, 12, 184527634, 114512891]","[97, 231, 183]"
312,COAa,1,427,639,"Cortical amygdalar area, anterior part","[997, 8, 567, 688, 695, 698, 631, 639]","[112905828, 691663206, 688152358, 687527945, 12, 184527634, 167587189]","[97, 231, 183]"
313,COAa1,1,428,192,"Cortical amygdalar area, anterior part, layer 1","[997, 8, 567, 688, 695, 698, 631, 639, 192]",[12],"[97, 231, 183]"
314,COAa2,1,429,200,"Cortical amygdalar area, anterior part, layer 2","[997, 8, 567, 688, 695, 698, 631, 639, 200]",[12],"[97, 231, 183]"
315,COAp,1,431,647,"Cortical amygdalar area, posterior part","[997, 8, 567, 688, 695, 698, 631, 647]","[112905828, 691663206, 688152358, 687527945, 12, 184527634, 167587189, 114512891]","[97, 231, 183]"
316,COApl,1,432,655,"Cortical amygdalar area, posterior part, lateral zone","[997, 8, 567, 688, 695, 698, 631, 647, 655]","[184527634, 12, 691663206]","[97, 231, 183]"
317,COApl1,1,435,216,"Cortical amygdalar area, posterior part, lateral zone, layer 1","[997, 8, 567, 688, 695, 698, 631, 647, 655, 216]",[12],"[97, 231, 183]"
318,COApl2,1,436,224,"Cortical amygdalar area, posterior part, lateral zone, layer 2","[997, 8, 567, 688, 695, 698, 631, 647, 655, 224]",[12],"[97, 231, 183]"
319,COApl3,1,437,232,"Cortical amygdalar area, posterior part, lateral zone, layer 3","[997, 8, 567, 688, 695, 698, 631, 647, 655, 232]",[12],"[97, 231, 183]"
320,COApm,1,438,663,"Cortical amygdalar area, posterior part, medial zone","[997, 8, 567, 688, 695, 698, 631, 647, 663]","[184527634, 12, 691663206]","[97, 231, 183]"
321,COApm1,1,441,240,"Cortical amygdalar area, posterior part, medial zone, layer 1","[997, 8, 567, 688, 695, 698, 631, 647, 663, 240]",[12],"[97, 231, 183]"
322,COApm2,1,442,248,"Cortical amygdalar area, posterior part, medial zone, layer 2","[997, 8, 567, 688, 695, 698, 631, 647, 663, 248]",[12],"[97, 231, 183]"
323,COApm3,1,443,256,"Cortical amygdalar area, posterior part, medial zone, layer 3","[997, 8, 567, 688, 695, 698, 631, 647, 663, 256]",[12],"[97, 231, 183]"
324,PAA,1,444,788,Piriform-amygdalar area,"[997, 8, 567, 688, 695, 698, 788]","[112905828, 688152358, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[89, 218, 171]"
325,PAA1,1,446,408,"Piriform-amygdalar area, molecular layer","[997, 8, 567, 688, 695, 698, 788, 408]",[12],"[89, 218, 171]"
326,PAA2,1,447,416,"Piriform-amygdalar area, pyramidal layer","[997, 8, 567, 688, 695, 698, 788, 416]",[12],"[89, 218, 171]"
327,PAA3,1,448,424,"Piriform-amygdalar area, polymorph layer","[997, 8, 567, 688, 695, 698, 788, 424]",[12],"[89, 218, 171]"
328,TR,1,449,566,Postpiriform transition area,"[997, 8, 567, 688, 695, 698, 566]","[112905828, 691663206, 688152358, 687527945, 12, 184527634, 167587189, 114512891]","[168, 236, 211]"
329,TR1,1,451,1140,"Postpiriform transition area, layers 1","[997, 8, 567, 688, 695, 698, 566, 1140]",[12],"[168, 236, 211]"
330,TR2,1,452,1141,"Postpiriform transition area, layers 2","[997, 8, 567, 688, 695, 698, 566, 1141]",[12],"[168, 236, 211]"
331,TR3,1,453,1142,"Postpiriform transition area, layers 3","[997, 8, 567, 688, 695, 698, 566, 1142]",[12],"[168, 236, 211]"
332,HPF,1,454,1089,Hippocampal formation,"[997, 8, 567, 688, 695, 1089]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[126, 208, 75]"
333,HIP,1,455,1080,Hippocampal region,"[997, 8, 567, 688, 695, 1089, 1080]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[126, 208, 75]"
334,CA,1,456,375,Ammon's horn,"[997, 8, 567, 688, 695, 1089, 1080, 375]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[126, 208, 75]"
335,CA1,1,457,382,Field CA1,"[997, 8, 567, 688, 695, 1089, 1080, 375, 382]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[126, 208, 75]"
336,CA1slm,1,458,391,"Field CA1, stratum lacunosum-moleculare","[997, 8, 567, 688, 695, 1089, 1080, 375, 382, 391]",[12],"[126, 208, 75]"
337,CA1so,1,459,399,"Field CA1, stratum oriens","[997, 8, 567, 688, 695, 1089, 1080, 375, 382, 399]",[12],"[126, 208, 75]"
338,CA1sp,1,460,407,"Field CA1, pyramidal layer","[997, 8, 567, 688, 695, 1089, 1080, 375, 382, 407]","[10, 12]","[102, 168, 61]"
339,CA1sr,1,461,415,"Field CA1, stratum radiatum","[997, 8, 567, 688, 695, 1089, 1080, 375, 382, 415]",[12],"[126, 208, 75]"
340,CA2,1,462,423,Field CA2,"[997, 8, 567, 688, 695, 1089, 1080, 375, 423]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189]","[126, 208, 75]"
341,CA2slm,1,463,431,"Field CA2, stratum lacunosum-moleculare","[997, 8, 567, 688, 695, 1089, 1080, 375, 423, 431]",[12],"[126, 208, 75]"
342,CA2so,1,464,438,"Field CA2, stratum oriens","[997, 8, 567, 688, 695, 1089, 1080, 375, 423, 438]",[12],"[126, 208, 75]"
343,CA2sp,1,465,446,"Field CA2, pyramidal layer","[997, 8, 567, 688, 695, 1089, 1080, 375, 423, 446]","[10, 12]","[102, 168, 61]"
344,CA2sr,1,466,454,"Field CA2, stratum radiatum","[997, 8, 567, 688, 695, 1089, 1080, 375, 423, 454]",[12],"[126, 208, 75]"
345,CA3,1,467,463,Field CA3,"[997, 8, 567, 688, 695, 1089, 1080, 375, 463]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189, 112905813, 114512891]","[126, 208, 75]"
346,CA3slm,1,468,471,"Field CA3, stratum lacunosum-moleculare","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 471]",[12],"[126, 208, 75]"
347,CA3slu,1,469,479,"Field CA3, stratum lucidum","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 479]",[12],"[126, 208, 75]"
348,CA3so,1,470,486,"Field CA3, stratum oriens","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 486]",[12],"[126, 208, 75]"
349,CA3sp,1,471,495,"Field CA3, pyramidal layer","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 495]","[10, 12]","[102, 168, 61]"
350,CA3sr,1,472,504,"Field CA3, stratum radiatum","[997, 8, 567, 688, 695, 1089, 1080, 375, 463, 504]",[12],"[126, 208, 75]"
351,DG,1,473,726,Dentate gyrus,"[997, 8, 567, 688, 695, 1089, 1080, 726]","[3, 112905828, 691663206, 688152359, 687527945, 10, 12, 184527634, 112905813, 167587189, 114512891]","[126, 208, 75]"
352,DG-mo,1,474,10703,"Dentate gyrus, molecular layer","[997, 8, 567, 688, 695, 1089, 1080, 726, 10703]","[184527634, 12, 691663206]","[126, 208, 75]"
353,DG-po,1,475,10704,"Dentate gyrus, polymorph layer","[997, 8, 567, 688, 695, 1089, 1080, 726, 10704]","[184527634, 12, 691663206]","[126, 208, 75]"
354,DG-sg,1,476,632,"Dentate gyrus, granule cell layer","[997, 8, 567, 688, 695, 1089, 1080, 726, 632]","[184527634, 12, 691663206]","[102, 168, 61]"
355,FC,1,490,982,Fasciola cinerea,"[997, 8, 567, 688, 695, 1089, 1080, 982]","[3, 112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189]","[126, 208, 75]"
356,IG,1,491,19,Induseum griseum,"[997, 8, 567, 688, 695, 1089, 1080, 19]","[3, 112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189]","[126, 208, 75]"
357,RHP,1,492,822,Retrohippocampal region,"[997, 8, 567, 688, 695, 1089, 822]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[50, 184, 37]"
358,ENT,1,493,909,Entorhinal area,"[997, 8, 567, 688, 695, 1089, 822, 909]","[112905828, 691663206, 10, 12, 184527634, 114512891]","[50, 184, 37]"
359,ENTl,1,494,918,"Entorhinal area, lateral part","[997, 8, 567, 688, 695, 1089, 822, 909, 918]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189, 114512891]","[50, 184, 37]"
360,ENTl1,1,495,1121,"Entorhinal area, lateral part, layer 1","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 1121]","[184527634, 12, 691663206]","[50, 184, 37]"
361,ENTl2,1,496,20,"Entorhinal area, lateral part, layer 2","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 20]","[184527634, 12, 691663206]","[50, 184, 37]"
362,ENTl2/3,1,497,999,"Entorhinal area, lateral part, layer 2/3","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 999]",[12],"[50, 184, 37]"
363,ENTl2a,1,498,715,"Entorhinal area, lateral part, layer 2a","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 715]",[12],"[50, 184, 37]"
364,ENTl2b,1,499,764,"Entorhinal area, lateral part, layer 2b","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 764]",[12],"[50, 184, 37]"
365,ENTl3,1,500,52,"Entorhinal area, lateral part, layer 3","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 52]","[184527634, 12, 691663206]","[50, 184, 37]"
366,ENTl4,1,501,92,"Entorhinal area, lateral part, layer 4","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 92]",[12],"[50, 184, 37]"
367,ENTl4/5,1,502,312,"Entorhinal area, lateral part, layer 4/5","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 312]",[12],"[50, 184, 37]"
368,ENTl5,1,503,139,"Entorhinal area, lateral part, layer 5","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 139]","[184527634, 12, 691663206]","[50, 184, 37]"
369,ENTl6a,1,505,28,"Entorhinal area, lateral part, layer 6a","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 28]","[184527634, 12, 691663206]","[50, 184, 37]"
370,ENTl6b,1,506,60,"Entorhinal area, lateral part, layer 6b","[997, 8, 567, 688, 695, 1089, 822, 909, 918, 60]",[12],"[50, 184, 37]"
371,ENTm,1,507,926,"Entorhinal area, medial part, dorsal zone","[997, 8, 567, 688, 695, 1089, 822, 909, 926]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189, 114512891]","[50, 184, 37]"
372,ENTm1,1,508,526,"Entorhinal area, medial part, dorsal zone, layer 1","[997, 8, 567, 688, 695, 1089, 822, 909, 926, 526]","[184527634, 12, 691663206]","[50, 184, 37]"
373,ENTm2,1,509,543,"Entorhinal area, medial part, dorsal zone, layer 2","[997, 8, 567, 688, 695, 1089, 822, 909, 926, 543]","[184527634, 12, 691663206]","[50, 184, 37]"
374,ENTm3,1,512,664,"Entorhinal area, medial part, dorsal zone, layer 3","[997, 8, 567, 688, 695, 1089, 822, 909, 926, 664]","[184527634, 12, 691663206]","[50, 184, 37]"
375,ENTm4,1,513,712,"Entorhinal area, medial part, dorsal zone, layer 4","[997, 8, 567, 688, 695, 1089, 822, 909, 926, 712]",[12],"[50, 184, 37]"
376,ENTm5,1,514,727,"Entorhinal area, medial part, dorsal zone, layer 5","[997, 8, 567, 688, 695, 1089, 822, 909, 926, 727]","[184527634, 12, 691663206]","[50, 184, 37]"
377,ENTm6,1,516,743,"Entorhinal area, medial part, dorsal zone, layer 6","[997, 8, 567, 688, 695, 1089, 822, 909, 926, 743]","[184527634, 12, 691663206]","[50, 184, 37]"
378,ENTmv,1,517,934,"Entorhinal area, medial part, ventral zone","[997, 8, 567, 688, 695, 1089, 822, 909, 934]","[687527945, 184527634, 12]","[50, 184, 37]"
379,ENTmv1,1,518,259,"Entorhinal area, medial part, ventral zone, layer 1","[997, 8, 567, 688, 695, 1089, 822, 909, 934, 259]",[12],"[50, 184, 37]"
380,ENTmv2,1,519,324,"Entorhinal area, medial part, ventral zone, layer 2","[997, 8, 567, 688, 695, 1089, 822, 909, 934, 324]",[12],"[50, 184, 37]"
381,ENTmv3,1,520,371,"Entorhinal area, medial part, ventral zone, layer 3","[997, 8, 567, 688, 695, 1089, 822, 909, 934, 371]",[12],"[50, 184, 37]"
382,PAR,1,523,843,Parasubiculum,"[997, 8, 567, 688, 695, 1089, 822, 843]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189, 114512891]","[114, 213, 105]"
383,PAR1,1,524,10693,"Parasubiculum, layer 1","[997, 8, 567, 688, 695, 1089, 822, 843, 10693]",[12],"[114, 213, 105]"
384,PAR2,1,525,10694,"Parasubiculum, layer 2","[997, 8, 567, 688, 695, 1089, 822, 843, 10694]",[12],"[114, 213, 105]"
385,PAR3,1,526,10695,"Parasubiculum, layer 3","[997, 8, 567, 688, 695, 1089, 822, 843, 10695]",[12],"[114, 213, 105]"
386,POST,1,527,1037,Postsubiculum,"[997, 8, 567, 688, 695, 1089, 822, 1037]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189, 114512891]","[72, 200, 60]"
387,POST1,1,528,10696,"Postsubiculum, layer 1","[997, 8, 567, 688, 695, 1089, 822, 1037, 10696]",[12],"[72, 200, 60]"
388,POST2,1,529,10697,"Postsubiculum, layer 2","[997, 8, 567, 688, 695, 1089, 822, 1037, 10697]",[12],"[72, 200, 60]"
389,POST3,1,530,10698,"Postsubiculum, layer 3","[997, 8, 567, 688, 695, 1089, 822, 1037, 10698]",[12],"[72, 200, 60]"
390,PRE,1,531,1084,Presubiculum,"[997, 8, 567, 688, 695, 1089, 822, 1084]","[112905828, 691663206, 688152359, 687527945, 12, 184527634, 167587189, 114512891]","[89, 185, 71]"
391,PRE1,1,532,10699,"Presubiculum, layer 1","[997, 8, 567, 688, 695, 1089, 822, 1084, 10699]",[12],"[89, 185, 71]"
392,PRE2,1,533,10700,"Presubiculum, layer 2","[997, 8, 567, 688, 695, 1089, 822, 1084, 10700]",[12],"[89, 185, 71]"
393,PRE3,1,534,10701,"Presubiculum, layer 3","[997, 8, 567, 688, 695, 1089, 822, 1084, 10701]",[12],"[89, 185, 71]"
394,SUB,1,535,502,Subiculum,"[997, 8, 567, 688, 695, 1089, 822, 502]","[112905828, 691663206, 688152359, 687527945, 10, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[79, 194, 68]"
395,SUBd,1,536,509,"Subiculum, dorsal part","[997, 8, 567, 688, 695, 1089, 822, 502, 509]",[12],"[79, 194, 68]"
396,SUBd-m,1,537,829,"Subiculum, dorsal part, molecular layer","[997, 8, 567, 688, 695, 1089, 822, 502, 509, 829]",[12],"[79, 194, 68]"
397,SUBd-sp,1,538,845,"Subiculum, dorsal part, pyramidal layer","[997, 8, 567, 688, 695, 1089, 822, 502, 509, 845]",[12],"[75, 181, 71]"
398,SUBd-sr,1,539,837,"Subiculum, dorsal part, stratum radiatum","[997, 8, 567, 688, 695, 1089, 822, 502, 509, 837]",[12],"[79, 194, 68]"
399,SUBv,1,540,518,"Subiculum, ventral part","[997, 8, 567, 688, 695, 1089, 822, 502, 518]",[12],"[79, 194, 68]"
400,SUBv-m,1,541,853,"Subiculum, ventral part, molecular layer","[997, 8, 567, 688, 695, 1089, 822, 502, 518, 853]",[12],"[79, 194, 68]"
401,SUBv-sp,1,542,870,"Subiculum, ventral part, pyramidal layer","[997, 8, 567, 688, 695, 1089, 822, 502, 518, 870]",[12],"[75, 181, 71]"
402,SUBv-sr,1,543,861,"Subiculum, ventral part, stratum radiatum","[997, 8, 567, 688, 695, 1089, 822, 502, 518, 861]",[12],"[79, 194, 68]"
403,CTXsp,1,555,703,Cortical subplate,"[997, 8, 567, 688, 703]","[2, 3, 112905828, 691663206, 12, 184527634, 687527670, 114512891]","[138, 218, 135]"
404,CLA,1,557,583,Claustrum,"[997, 8, 567, 688, 703, 583]","[112905828, 691663206, 688152360, 687527945, 10, 12, 184527634, 167587189, 114512891]","[138, 218, 135]"
405,EP,1,558,942,Endopiriform nucleus,"[997, 8, 567, 688, 703, 942]","[112905828, 691663206, 12, 184527634, 114512891]","[160, 238, 157]"
406,EPd,1,559,952,"Endopiriform nucleus, dorsal part","[997, 8, 567, 688, 703, 942, 952]","[112905828, 691663206, 688152360, 687527945, 12, 184527634, 167587189, 114512891]","[160, 238, 157]"
407,EPv,1,560,966,"Endopiriform nucleus, ventral part","[997, 8, 567, 688, 703, 942, 966]","[112905828, 691663206, 688152360, 687527945, 12, 184527634, 167587189]","[160, 238, 157]"
408,LA,1,561,131,Lateral amygdalar nucleus,"[997, 8, 567, 688, 703, 131]","[112905828, 691663206, 688152360, 687527945, 12, 184527634, 167587189, 114512891]","[144, 235, 141]"
409,BLA,1,562,295,Basolateral amygdalar nucleus,"[997, 8, 567, 688, 703, 295]","[112905828, 691663206, 688152360, 687527945, 12, 184527634, 167587189, 114512891]","[157, 231, 156]"
410,BLAa,1,563,303,"Basolateral amygdalar nucleus, anterior part","[997, 8, 567, 688, 703, 295, 303]","[184527634, 12, 691663206]","[157, 231, 156]"
411,BLAp,1,564,311,"Basolateral amygdalar nucleus, posterior part","[997, 8, 567, 688, 703, 295, 311]","[184527634, 12, 691663206]","[157, 231, 156]"
412,BLAv,1,565,451,"Basolateral amygdalar nucleus, ventral part","[997, 8, 567, 688, 703, 295, 451]","[184527634, 12, 691663206]","[157, 231, 156]"
413,BMA,1,566,319,Basomedial amygdalar nucleus,"[997, 8, 567, 688, 703, 319]","[112905828, 691663206, 688152360, 687527945, 12, 184527634, 167587189, 114512891]","[132, 234, 129]"
414,BMAa,1,567,327,"Basomedial amygdalar nucleus, anterior part","[997, 8, 567, 688, 703, 319, 327]","[184527634, 12, 691663206]","[132, 234, 129]"
415,BMAp,1,568,334,"Basomedial amygdalar nucleus, posterior part","[997, 8, 567, 688, 703, 319, 334]","[184527634, 12, 691663206]","[132, 234, 129]"
416,PA,1,569,780,Posterior amygdalar nucleus,"[997, 8, 567, 688, 703, 780]","[112905828, 691663206, 688152360, 687527945, 12, 184527634, 167587189, 114512891]","[151, 236, 147]"
417,CNU,1,570,623,Cerebral nuclei,"[997, 8, 567, 623]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[152, 214, 249]"
418,STR,1,571,477,Striatum,"[997, 8, 567, 623, 477]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[152, 214, 249]"
419,STRd,1,572,485,Striatum dorsal region,"[997, 8, 567, 623, 477, 485]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[152, 214, 249]"
420,CP,1,573,672,Caudoputamen,"[997, 8, 567, 623, 477, 485, 672]","[112905828, 691663206, 687527945, 10, 688152361, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[152, 214, 249]"
421,STRv,1,574,493,Striatum ventral region,"[997, 8, 567, 623, 477, 493]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[128, 205, 248]"
422,ACB,1,575,56,Nucleus accumbens,"[997, 8, 567, 623, 477, 493, 56]","[112905828, 691663206, 688152361, 10, 687527945, 12, 184527634, 167587189, 114512891]","[128, 205, 248]"
423,FS,1,576,998,Fundus of striatum,"[997, 8, 567, 623, 477, 493, 998]","[112905828, 691663206, 687527945, 688152361, 12, 184527634, 167587189]","[128, 205, 248]"
424,OT,1,577,754,Olfactory tubercle,"[997, 8, 567, 623, 477, 493, 754]","[112905828, 691663206, 688152361, 10, 687527945, 12, 184527634, 167587189, 114512891]","[128, 205, 248]"
425,isl,1,578,481,Islands of Calleja,"[997, 8, 567, 623, 477, 493, 754, 481]",[12],"[128, 205, 248]"
426,islm,1,579,489,Major island of Calleja,"[997, 8, 567, 623, 477, 493, 754, 489]","[10, 12]","[128, 205, 248]"
427,OT1,1,581,458,"Olfactory tubercle, molecular layer","[997, 8, 567, 623, 477, 493, 754, 458]",[12],"[128, 205, 248]"
428,OT2,1,582,465,"Olfactory tubercle, pyramidal layer","[997, 8, 567, 623, 477, 493, 754, 465]",[12],"[128, 205, 248]"
429,OT3,1,583,473,"Olfactory tubercle, polymorph layer","[997, 8, 567, 623, 477, 493, 754, 473]",[12],"[128, 205, 248]"
430,LSX,1,585,275,Lateral septal complex,"[997, 8, 567, 623, 477, 275]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[144, 203, 237]"
431,LS,1,586,242,Lateral septal nucleus,"[997, 8, 567, 623, 477, 275, 242]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[144, 203, 237]"
432,LSc,1,587,250,"Lateral septal nucleus, caudal (caudodorsal) part","[997, 8, 567, 623, 477, 275, 242, 250]","[112905828, 691663206, 688152361, 10, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[144, 203, 237]"
433,LSr,1,588,258,"Lateral septal nucleus, rostral (rostroventral) part","[997, 8, 567, 623, 477, 275, 242, 258]","[112905828, 691663206, 688152361, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[144, 203, 237]"
434,LSv,1,589,266,"Lateral septal nucleus, ventral part","[997, 8, 567, 623, 477, 275, 242, 266]","[112905828, 691663206, 688152361, 687527945, 12, 184527634, 167587189, 114512891]","[144, 203, 237]"
435,SF,1,590,310,Septofimbrial nucleus,"[997, 8, 567, 623, 477, 275, 310]","[112905828, 691663206, 687527945, 688152361, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[144, 203, 237]"
436,SH,1,591,333,Septohippocampal nucleus,"[997, 8, 567, 623, 477, 275, 333]","[112905828, 691663206, 688152361, 687527945, 12, 184527634, 167587189]","[144, 203, 237]"
437,sAMY,1,592,278,Striatum-like amygdalar nuclei,"[997, 8, 567, 623, 477, 278]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891]","[128, 192, 226]"
438,AAA,1,593,23,Anterior amygdalar area,"[997, 8, 567, 623, 477, 278, 23]","[112905828, 691663206, 687527945, 688152361, 12, 184527634, 167587189, 114512891]","[128, 192, 226]"
439,BA,1,594,292,Bed nucleus of the accessory olfactory tract,"[997, 8, 567, 623, 477, 278, 292]","[112905828, 691663206, 687527945, 688152361, 12, 184527634, 167587189]","[128, 192, 226]"
440,CEA,1,595,536,Central amygdalar nucleus,"[997, 8, 567, 623, 477, 278, 536]","[112905828, 691663206, 687527945, 10, 688152361, 12, 184527634, 112905813, 167587189, 114512891]","[128, 192, 226]"
441,CEAc,1,596,544,"Central amygdalar nucleus, capsular part","[997, 8, 567, 623, 477, 278, 536, 544]","[184527634, 12, 691663206]","[128, 192, 226]"
442,CEAl,1,597,551,"Central amygdalar nucleus, lateral part","[997, 8, 567, 623, 477, 278, 536, 551]","[184527634, 12, 691663206]","[128, 192, 226]"
443,CEAm,1,598,559,"Central amygdalar nucleus, medial part","[997, 8, 567, 623, 477, 278, 536, 559]","[184527634, 12, 691663206]","[128, 192, 226]"
444,IA,1,599,1105,Intercalated amygdalar nucleus,"[997, 8, 567, 623, 477, 278, 1105]","[112905828, 691663206, 688152361, 687527945, 12, 184527634, 167587189]","[128, 192, 226]"
445,MEA,1,600,403,Medial amygdalar nucleus,"[997, 8, 567, 623, 477, 278, 403]","[112905828, 691663206, 688152361, 10, 687527945, 12, 184527634, 167587189, 114512891]","[128, 192, 226]"
446,MEAad,1,601,411,"Medial amygdalar nucleus, anterodorsal part","[997, 8, 567, 623, 477, 278, 403, 411]",[12],"[128, 192, 226]"
447,MEAav,1,602,418,"Medial amygdalar nucleus, anteroventral part","[997, 8, 567, 623, 477, 278, 403, 418]",[12],"[128, 192, 226]"
448,MEApd,1,603,426,"Medial amygdalar nucleus, posterodorsal part","[997, 8, 567, 623, 477, 278, 403, 426]",[12],"[128, 192, 226]"
449,MEApd-a,1,604,472,"Medial amygdalar nucleus, posterodorsal part, sublayer a","[997, 8, 567, 623, 477, 278, 403, 426, 472]",[12],"[128, 192, 226]"
450,MEApd-b,1,605,480,"Medial amygdalar nucleus, posterodorsal part, sublayer b","[997, 8, 567, 623, 477, 278, 403, 426, 480]",[12],"[128, 192, 226]"
451,MEApd-c,1,606,487,"Medial amygdalar nucleus, posterodorsal part, sublayer c","[997, 8, 567, 623, 477, 278, 403, 426, 487]",[12],"[128, 192, 226]"
452,MEApv,1,607,435,"Medial amygdalar nucleus, posteroventral part","[997, 8, 567, 623, 477, 278, 403, 435]",[12],"[128, 192, 226]"
453,PAL,1,608,803,Pallidum,"[997, 8, 567, 623, 803]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[133, 153, 204]"
454,PALd,1,609,818,"Pallidum, dorsal region","[997, 8, 567, 623, 803, 818]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[133, 153, 204]"
455,GPe,1,610,1022,"Globus pallidus, external segment","[997, 8, 567, 623, 803, 818, 1022]","[112905828, 691663206, 687527945, 688152362, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[133, 153, 204]"
456,GPi,1,611,1031,"Globus pallidus, internal segment","[997, 8, 567, 623, 803, 818, 1031]","[112905828, 691663206, 687527945, 688152362, 12, 184527634, 167587189, 112905813, 114512891]","[133, 153, 204]"
457,PALv,1,612,835,"Pallidum, ventral region","[997, 8, 567, 623, 803, 835]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[162, 177, 216]"
458,SI,1,613,342,Substantia innominata,"[997, 8, 567, 623, 803, 835, 342]","[112905828, 691663206, 687527945, 688152362, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[162, 177, 216]"
459,MA,1,614,298,Magnocellular nucleus,"[997, 8, 567, 623, 803, 835, 298]","[112905828, 691663206, 687527945, 688152362, 12, 184527634, 167587189]","[162, 177, 216]"
460,PALm,1,615,826,"Pallidum, medial region","[997, 8, 567, 623, 803, 826]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891]","[150, 167, 211]"
461,MSC,1,616,904,Medial septal complex,"[997, 8, 567, 623, 803, 826, 904]","[112905828, 691663206, 12, 184527634, 112905813, 114512891]","[150, 167, 211]"
462,MS,1,617,564,Medial septal nucleus,"[997, 8, 567, 623, 803, 826, 904, 564]","[112905828, 691663206, 687527945, 688152362, 12, 184527634, 167587189, 112905813, 114512891]","[150, 167, 211]"
463,NDB,1,618,596,Diagonal band nucleus,"[997, 8, 567, 623, 803, 826, 904, 596]","[112905828, 691663206, 687527945, 688152362, 12, 184527634, 167587189, 114512891]","[150, 167, 211]"
464,TRS,1,619,581,Triangular nucleus of septum,"[997, 8, 567, 623, 803, 826, 581]","[112905828, 691663206, 687527945, 10, 688152362, 12, 184527634, 112905813, 167587189, 114512891]","[150, 167, 211]"
